dt,LandAverageTemperature,LandAverageTemperatureUncertainty
1780-08,18.25,6.5
1780-09,14.29,8.2
1780-10,9.55,8.99
1780-11,5.92,7.35
1780-12,2.78,6.9
1781-01,2.36,8.52
1781-02,3.72,7.83
1781-03,6.17,8.67
1781-04,10.75,8.37
1781-05,14.04,6.15
1781-06,16.98,7.07
1781-07,18.99,6.55
1781-08,17.66,6.8
1781-09,14.47,6.32
1781-10,10.34,7.38
1781-11,5.22,7.74
1781-12,2.67,8.04
1782-01,2.78,7.28
1782-02,3.58,8.06
1782-03,6.3,8.33
1782-04,10.41,8.25
1782-05,14.39,7.89
1782-06,17.14,7.34
1782-07,18.93,8.78
1782-08,17.77,6.73
1782-09,14.87,8.41
1782-10,9.93,9.01
1782-11,5.72,8.87
1782-12,2.83,7.63
1783-01,2.36,8.7
1783-02,3.55,6.92
1783-03,6.31,6.06
1783-04,10.55,7.89
1783-05,14.1,6.7
1783-06,17.47,6.71
1783-07,18.95,8.77
1783-08,18.63,6.24
1783-09,14.4,7.69
1783-10,9.7,8.91
1783-11,5.75,8.96
1783-12,2.64,8.15
1784-01,2.23,7.52
1784-02,4.41,6.19
1784-03,6.6,7.49
1784-04,10.27,6.91
1784-05,14.2,7.89
1784-06,16.98,6.98
1784-07,18.78,8.23
1784-08,18.1,6.89
1784-09,14.83,7.42
1784-10,9.79,8.53
1784-11,5.37,7.06
1784-12,3.56,6.74
1785-01,2.71,6.23
1785-02,3.45,8.09
1785-03,6.51,7.3
1785-04,10.23,6.49
1785-05,13.62,7.98
1785-06,17.05,7.31
1785-07,18.48,8.28
1785-08,18.19,8.16
1785-09,14.57,7.08
1785-10,9.7,7.67
1785-11,5.98,8.87
1785-12,3.04,8.06
1786-01,2.83,5.94
1786-02,4.37,8.87
1786-03,6.37,7.71
1786-04,10.0,7.72
1786-05,13.89,8.06
1786-06,17.16,8.05
1786-07,19.0,6.93
1786-08,18.63,6.08
1786-09,14.17,6.32
1786-10,9.71,7.39
1786-11,5.81,7.88
1786-12,2.8,7.51
1787-01,2.32,6.72
1787-02,3.85,7.31
1787-03,6.53,7.15
1787-04,10.82,7.97
1787-05,13.77,6.3
1787-06,17.08,8.2
1787-07,19.35,6.8
1787-08,17.74,6.99
1787-09,15.11,6.72
1787-10,10.21,7.52
1787-11,5.63,6.01
1787-12,2.89,7.28
1788-01,2.58,6.17
1788-02,3.95,8.59
1788-03,6.77,7.73
1788-04,10.64,8.79
1788-05,13.58,6.44
1788-06,16.87,8.74
1788-07,18.42,7.47
1788-08,18.13,7.74
1788-09,14.44,8.66
1788-10,9.78,7.04
1788-11,5.78,6.46
1788-12,3.27,8.34
1789-01,2.19,7.86
1789-02,4.34,7.71
1789-03,6.46,8.41
1789-04,10.14,7.45
1789-05,13.85,6.21
1789-06,17.01,8.68
1789-07,18.99,8.7
1789-08,17.76,7.14
1789-09,14.21,8.08
1789-10,9.83,8.1
1789-11,5.72,7.77
1789-12,3.05,8.01
1790-01,2.91,7.77
1790-02,3.63,6.39
1790-03,6.93,8.38
1790-04,10.16,7.04
1790-05,13.9,7.68
1790-06,17.06,6.79
1790-07,19.28,7.55
1790-08,18.43,6.56
1790-09,14.79,6.91
1790-10,10.04,6.27
1790-11,5.66,5.99
1790-12,2.79,7.72
1791-01,2.9,7.77
1791-02,3.86,7.25
1791-03,6.37,6.76
1791-04,10.07,6.45
1791-05,14.34,6.15
1791-06,17.11,6.18
1791-07,18.95,6.92
1791-08,18.41,8.53
1791-09,14.23,8.68
1791-10,10.06,7.89
1791-11,6.06,8.64
1791-12,3.33,6.51
1792-01,3.03,6.76
1792-02,3.67,6.91
1792-03,6.73,8.47
1792-04,10.41,6.67
1792-05,14.24,8.68
1792-06,17.56,8.26
1792-07,18.79,6.72
1792-08,18.03,7.91
1792-09,14.75,5.85
1792-10,10.23,7.66
1792-11,5.95,8.69
1792-12,3.38,5.8
1793-01,2.19,8.51
1793-02,3.53,5.9
1793-03,6.89,6.0
1793-04,10.21,6.28
1793-05,13.73,6.28
1793-06,17.12,5.78
1793-07,18.44,6.36
1793-08,18.0,6.12
1793-09,14.34,8.57
1793-10,10.21,7.45
1793-11,5.84,6.42
1793-12,3.09,7.09
1794-01,2.84,6.73
1794-02,4.35,8.31
1794-03,6.32,7.03
1794-04,10.41,8.14
1794-05,13.62,6.35
1794-06,17.04,8.29
1794-07,18.64,7.55
1794-08,17.77,6.38
1794-09,14.86,6.8
1794-10,9.84,8.32
1794-11,5.42,8.43
1794-12,2.69,5.87
1795-01,2.92,6.49
1795-02,4.25,7.73
1795-03,6.83,7.2
1795-04,10.13,8.2
1795-05,14.39,8.23
1795-06,17.09,6.96
1795-07,18.42,8.0
1795-08,17.74,5.97
1795-09,15.08,6.82
1795-10,10.0,7.75
1795-11,5.9,5.68
1795-12,3.23,7.64
1796-01,3.15,7.8
1796-02,3.64,8.48
1796-03,7.04,7.32
1796-04,10.51,7.36
1796-05,14.18,8.19
1796-06,16.95,8.44
1796-07,18.83,8.22
1796-08,17.96,7.12
1796-09,14.45,7.62
1796-10,10.28,7.01
1796-11,5.31,7.01
1796-12,2.82,8.59
1797-01,2.81,7.2
1797-02,4.08,6.52
1797-03,6.93,8.3
1797-04,10.77,7.49
1797-05,14.36,7.32
1797-06,17.18,6.19
1797-07,18.61,7.53
1797-08,18.0,5.87
1797-09,15.06,6.33
1797-10,9.88,7.69
1797-11,5.5,7.2
1797-12,3.6,7.71
1798-01,2.47,8.19
1798-02,4.08,7.76
1798-03,6.92,5.88
1798-04,10.57,5.98
1798-05,14.38,5.98
1798-06,17.56,6.94
1798-07,19.35,8.14
1798-08,17.97,7.97
1798-09,14.28,7.4
1798-10,10.33,8.36
1798-11,5.53,6.51
1798-12,3.38,6.45
1799-01,2.44,8.46
1799-02,4.06,5.69
1799-03,6.72,6.64
1799-04,10.67,7.42
1799-05,13.76,8.06
1799-06,17.19,7.54
1799-07,18.61,5.74
1799-08,17.91,7.57
1799-09,14.71,7.58
1799-10,9.63,6.08
1799-11,5.28,6.6
1799-12,2.93,8.38
1800-01,3.01,7.76
1800-02,3.51,7.01
1800-03,6.21,7.65
1800-04,10.34,6.01
1800-05,13.8,6.4
1800-06,17.85,5.67
1800-07,19.29,8.44
1800-08,18.58,6.18
1800-09,15.06,6.59
1800-10,10.34,5.93
1800-11,6.19,8.18
1800-12,3.45,7.99
1801-01,2.78,6.05
1801-02,3.96,5.98
1801-03,7.02,5.91
1801-04,10.05,8.36
1801-05,14.06,7.11
1801-06,17.44,7.02
1801-07,18.46,5.74
1801-08,18.17,6.91
1801-09,15.02,8.38
1801-10,10.34,7.01
1801-11,5.39,6.74
1801-12,3.19,5.54
1802-01,2.9,8.41
1802-02,3.77,8.12
1802-03,6.59,7.33
1802-04,10.65,7.17
1802-05,14.04,5.96
1802-06,17.81,7.8
1802-07,18.91,6.65
1802-08,17.85,7.27
1802-09,14.99,8.13
1802-10,9.97,6.29
1802-11,5.35,5.78
1802-12,2.93,7.19
1803-01,2.91,8.05
1803-02,4.4,6.52
1803-03,6.93,6.02
1803-04,10.41,8.3
1803-05,13.92,7.7
1803-06,17.67,7.87
1803-07,19.01,7.67
1803-08,18.67,6.77
1803-09,14.42,6.55
1803-10,10.08,7.22
1803-11,5.56,7.37
1803-12,2.91,6.07
1804-01,2.99,7.3
1804-02,4.33,6.97
1804-03,6.96,5.9
1804-04,10.33,7.64
1804-05,14.26,5.94
1804-06,17.02,6.32
1804-07,18.68,7.38
1804-08,17.73,7.38
1804-09,14.62,7.84
1804-10,10.17,7.94
1804-11,5.78,8.25
1804-12,3.7,8.25
1805-01,2.61,8.24
1805-02,4.3,8.18
1805-03,7.14,7.37
1805-04,10.28,8.05
1805-05,13.57,7.91
1805-06,16.93,6.57
1805-07,18.59,7.31
1805-08,18.65,6.02
1805-09,14.88,7.12
1805-10,9.79,5.84
1805-11,5.76,6.91
1805-12,3.72,7.0
1806-01,2.53,6.17
1806-02,3.55,5.51
1806-03,6.28,7.51
1806-04,10.87,8.04
1806-05,14.07,5.45
1806-06,17.89,8.31
1806-07,18.93,7.15
1806-08,18.24,5.7
1806-09,14.49,6.33
1806-10,9.94,7.19
1806-11,5.78,8.0
1806-12,2.94,7.05
1807-01,3.2,6.03
1807-02,3.7,6.1
1807-03,6.85,5.45
1807-04,10.27,6.85
1807-05,13.56,6.73
1807-06,17.82,6.39
1807-07,18.78,6.26
1807-08,18.28,6.38
1807-09,14.83,7.49
1807-10,9.64,7.31
1807-11,6.13,5.82
1807-12,3.71,6.05
1808-01,2.74,6.26
1808-02,4.2,7.25
1808-03,6.7,7.38
1808-04,10.68,6.94
1808-05,14.1,7.88
1808-06,17.26,6.74
1808-07,19.05,7.85
1808-08,18.16,6.33
1808-09,14.73,7.82
1808-10,10.12,7.19
1808-11,6.13,6.92
1808-12,3.26,6.13
1809-01,3.15,6.71
1809-02,3.81,5.58
1809-03,6.41,6.71
1809-04,10.08,7.25
1809-05,13.9,5.44
1809-06,17.73,7.79
1809-07,18.79,6.54
1809-08,18.7,7.23
1809-09,14.67,7.35
1809-10,10.49,5.75
1809-11,6.15,5.95
1809-12,3.73,6.8
1810-01,2.42,7.14
1810-02,3.54,8.06
1810-03,7.23,7.54
1810-04,10.19,5.31
1810-05,14.27,7.9
1810-06,17.42,6.34
1810-07,18.62,5.34
1810-08,18.17,5.91
1810-09,14.76,7.64
1810-10,10.15,5.39
1810-11,5.87,6.81
1810-12,2.76,7.39
1811-01,2.33,5.63
1811-02,4.43,7.3
1811-03,7.06,6.4
1811-04,10.0,5.86
1811-05,14.17,5.22
1811-06,17.33,7.69
1811-07,18.63,6.72
1811-08,18.61,5.42
1811-09,14.54,5.33
1811-10,10.01,6.79
1811-11,5.7,6.1
1811-12,2.84,6.43
1812-01,2.99,5.84
1812-02,4.15,6.41
1812-03,6.75,6.28
1812-04,10.3,6.2
1812-05,14.19,7.4
1812-06,17.77,6.29
1812-07,18.53,6.7
1812-08,18.29,6.09
1812-09,14.74,6.84
1812-10,9.62,6.17
1812-11,5.28,6.39
1812-12,3.49,6.27
1813-01,2.7,5.96
1813-02,4.32,6.22
1813-03,7.07,6.56
1813-04,10.18,6.52
1813-05,14.21,5.35
1813-06,17.27,5.72
1813-07,18.53,5.75
1813-08,18.3,6.83
1813-09,15.13,7.22
1813-10,10.42,7.28
1813-11,5.73,5.66
1813-12,3.68,5.3
1814-01,2.71,6.0
1814-02,3.95,5.49
1814-03,6.44,5.92
1814-04,10.88,7.06
1814-05,13.66,7.76
1814-06,17.87,5.29
1814-07,19.43,6.07
1814-08,18.69,6.91
1814-09,14.63,8.03
1814-10,9.87,5.72
1814-11,5.34,7.62
1814-12,2.9,7.41
1815-01,2.53,7.53
1815-02,4.56,5.2
1815-03,6.38,6.91
1815-04,10.77,5.21
1815-05,14.33,5.44
1815-06,17.61,7.0
1815-07,18.52,7.48
1815-08,18.19,5.92
1815-09,14.27,7.1
1815-10,9.75,6.08
1815-11,6.18,5.87
1815-12,3.13,6.78
1816-01,2.69,6.42
1816-02,4.08,5.07
1816-03,6.69,5.17
1816-04,10.63,5.78
1816-05,13.72,6.05
1816-06,17.1,5.44
1816-07,19.08,5.95
1816-08,18.75,6.26
1816-09,14.79,7.47
1816-10,10.12,7.55
1816-11,5.78,6.09
1816-12,3.63,7.27
1817-01,2.99,5.71
1817-02,4.31,7.88
1817-03,6.94,5.51
1817-04,10.78,5.12
1817-05,14.21,5.19
1817-06,17.09,5.66
1817-07,18.92,5.27
1817-08,18.69,5.69
1817-09,15.16,5.11
1817-10,10.17,6.54
1817-11,5.4,7.01
1817-12,3.16,6.77
1818-01,2.88,6.45
1818-02,4.41,7.64
1818-03,6.75,6.07
1818-04,10.77,5.68
1818-05,14.27,6.95
1818-06,17.73,7.45
1818-07,18.84,6.8
1818-08,17.83,5.01
1818-09,15.15,7.69
1818-10,10.13,7.72
1818-11,5.75,5.06
1818-12,3.25,6.76
1819-01,2.81,6.99
1819-02,4.31,5.88
1819-03,6.52,5.71
1819-04,10.34,5.31
1819-05,13.99,4.99
1819-06,17.15,7.53
1819-07,18.49,7.17
1819-08,18.23,6.47
1819-09,15.2,5.42
1819-10,10.21,6.11
1819-11,6.16,6.03
1819-12,3.39,7.51
1820-01,2.81,5.99
1820-02,3.91,7.05
1820-03,6.57,6.48
1820-04,10.3,5.86
1820-05,13.85,7.18
1820-06,17.36,5.49
1820-07,19.04,6.68
1820-08,17.81,7.85
1820-09,15.21,7.36
1820-10,10.39,7.23
1820-11,6.07,7.03
1820-12,3.78,7.84
1821-01,2.58,7.19
1821-02,3.69,6.72
1821-03,7.15,7.16
1821-04,10.26,5.94
1821-05,14.06,7.82
1821-06,17.54,7.76
1821-07,18.63,6.1
1821-08,17.84,4.99
1821-09,15.18,6.12
1821-10,9.67,6.74
1821-11,6.25,5.36
1821-12,2.92,5.48
1822-01,2.54,5.09
1822-02,3.95,4.89
1822-03,6.29,6.7
1822-04,10.48,5.17
1822-05,14.03,5.49
1822-06,17.31,5.56
1822-07,18.56,7.64
1822-08,18.38,6.14
1822-09,15.26,5.53
1822-10,10.25,5.14
1822-11,5.79,5.64
1822-12,3.39,7.76
1823-01,2.58,5.76
1823-02,3.73,6.91
1823-03,7.23,5.24
1823-04,10.05,6.02
1823-05,14.08,6.74
1823-06,17.74,5.55
1823-07,18.96,5.03
1823-08,17.98,6.51
1823-09,14.64,5.02
1823-10,9.79,7.09
1823-11,5.78,6.55
1823-12,3.68,6.29
1824-01,2.52,7.3
1824-02,4.37,5.87
1824-03,6.77,6.99
1824-04,10.48,5.44
1824-05,14.31,6.7
1824-06,17.46,6.27
1824-07,19.39,6.16
1824-08,18.4,5.64
1824-09,15.1,6.48
1824-10,9.93,4.99
1824-11,5.89,4.89
1824-12,2.82,6.85
1825-01,2.61,5.36
1825-02,4.44,5.19
1825-03,7.22,4.91
1825-04,10.78,7.01
1825-05,14.33,6.65
1825-06,17.46,7.36
1825-07,19.32,7.53
1825-08,18.24,5.27
1825-09,14.38,7.45
1825-10,9.63,5.76
1825-11,5.47,4.77
1825-12,3.66,5.1
1826-01,2.62,5.6
1826-02,4.59,5.0
1826-03,6.52,6.53
1826-04,10.76,5.91
1826-05,14.22,7.69
1826-06,17.2,4.97
1826-07,18.62,5.43
1826-08,18.03,4.95
1826-09,14.94,4.85
1826-10,9.98,7.05
1826-11,6.13,7.36
1826-12,3.24,5.84
1827-01,2.9,6.45
1827-02,4.38,5.24
1827-03,7.07,5.85
1827-04,10.32,5.69
1827-05,14.0,5.81
1827-06,17.89,5.51
1827-07,18.77,7.05
1827-08,18.32,5.18
1827-09,14.43,5.85
1827-10,9.65,6.29
1827-11,5.48,5.71
1827-12,3.04,5.71
1828-01,2.81,5.34
1828-02,4.39,7.27
1828-03,6.65,7.08
1828-04,10.76,7.01
1828-05,13.88,7.18
1828-06,17.13,6.38
1828-07,18.74,6.45
1828-08,17.86,6.94
1828-09,15.25,5.35
1828-10,10.03,6.84
1828-11,6.01,4.7
1828-12,3.62,6.27
1829-01,3.04,5.61
1829-02,3.76,6.8
1829-03,6.86,4.78
1829-04,10.34,5.37
1829-05,14.32,5.87
1829-06,17.65,5.75
1829-07,19.01,6.36
1829-08,18.09,6.47
1829-09,14.46,5.39
1829-10,9.73,6.08
1829-11,6.29,6.22
1829-12,3.55,5.57
1830-01,2.97,6.29
1830-02,3.85,7.3
1830-03,6.79,6.89
1830-04,10.03,6.54
1830-05,14.57,7.51
1830-06,17.7,5.25
1830-07,19.1,5.96
1830-08,17.85,5.93
1830-09,14.98,4.99
1830-10,10.31,7.54
1830-11,5.87,5.57
1830-12,3.53,5.34
1831-01,3.32,6.61
1831-02,3.77,7.44
1831-03,6.59,7.38
1831-04,10.94,7.05
1831-05,13.95,7.43
1831-06,17.08,5.99
1831-07,18.78,4.61
1831-08,17.89,4.83
1831-09,14.5,6.56
1831-10,10.36,7.07
1831-11,5.72,6.4
1831-12,3.75,5.66
1832-01,2.65,6.16
1832-02,4.42,6.97
1832-03,6.98,4.96
1832-04,10.86,7.14
1832-05,14.42,7.13
1832-06,17.86,4.93
1832-07,19.37,5.6
1832-08,18.42,6.93
1832-09,15.3,6.85
1832-10,10.14,6.39
1832-11,5.71,6.84
1832-12,3.65,4.64
1833-01,2.9,5.52
1833-02,4.62,6.88
1833-03,6.76,7.42
1833-04,10.52,4.54
1833-05,14.31,5.68
1833-06,17.68,5.19
1833-07,19.29,5.84
1833-08,18.61,5.06
1833-09,14.92,6.92
1833-10,10.27,6.5
1833-11,6.12,5.29
1833-12,3.81,4.57
1834-01,3.07,4.76
1834-02,4.34,5.09
1834-03,7.22,4.56
1834-04,10.67,6.82
1834-05,14.16,5.77
1834-06,17.22,4.62
1834-07,18.67,5.14
1834-08,18.56,4.95
1834-09,14.85,6.43
1834-10,9.77,5.16
1834-11,5.92,5.19
1834-12,3.46,6.92
1835-01,3.22,7.27
1835-02,4.29,4.6
1835-03,6.56,5.89
1835-04,11.02,6.64
1835-05,14.25,7.43
1835-06,17.8,5.25
1835-07,18.71,5.12
1835-08,18.29,5.89
1835-09,14.88,4.74
1835-10,10.12,5.56
1835-11,5.92,4.78
1835-12,3.64,5.21
1836-01,3.05,6.98
1836-02,4.16,7.0
1836-03,6.35,7.12
1836-04,10.8,7.08
1836-05,13.89,4.89
1836-06,17.55,6.8
1836-07,18.95,6.55
1836-08,18.19,4.78
1836-09,14.68,4.71
1836-10,10.54,5.38
1836-11,6.15,4.81
1836-12,3.79,6.8
1837-01,3.02,6.73
1837-02,4.58,6.61
1837-03,6.78,4.46
1837-04,10.49,6.55
1837-05,14.19,5.83
1837-06,17.85,4.59
1837-07,19.01,5.74
1837-08,18.79,4.76
1837-09,14.75,6.07
1837-10,10.37,4.59
1837-11,5.85,4.84
1837-12,3.44,5.81
1838-01,2.92,5.92
1838-02,4.31,4.99
1838-03,6.58,7.35
1838-04,10.29,5.89
1838-05,13.95,6.08
1838-06,17.19,4.89
1838-07,18.76,4.81
1838-08,17.93,5.7
1838-09,15.29,5.87
1838-10,10.06,6.21
1838-11,5.55,5.97
1838-12,3.57,7.11
1839-01,2.42,4.42
1839-02,4.03,5.41
1839-03,7.08,4.74
1839-04,10.79,6.54
