dt,LandAverageTemperature
1917-11,5.98
1917-12,3.52
1918-01,2.67
1918-02,4.1
1918-03,6.35
1918-04,10.16
1918-05,14.3
1918-06,17.39
1918-07,18.86
1918-08,18.32
1918-09,14.27
1918-10,9.99
1918-11,5.63
1918-12,3.41
1919-01,2.36
1919-02,4.3
1919-03,6.3
1919-04,10.08
1919-05,14.01
1919-06,17.47
1919-07,18.62
1919-08,17.83
1919-09,14.95
1919-10,9.73
1919-11,5.71
1919-12,3.23
1920-01,2.58
1920-02,4.01
1920-03,6.66
1920-04,10.69
1920-05,13.7
1920-06,17.51
1920-07,18.63
1920-08,18.06
1920-09,14.78
1920-10,9.78
1920-11,5.49
1920-12,3.34
1921-01,2.31
1921-02,3.91
1921-03,7.05
1921-04,10.74
1921-05,13.61
1921-06,17.12
1921-07,18.66
1921-08,18.49
1921-09,14.95
1921-10,10.25
1921-11,5.54
1921-12,2.87
1922-01,2.92
1922-02,4.12
1922-03,6.74
1922-04,10.74
1922-05,14.08
1922-06,16.96
1922-07,19.11
1922-08,17.99
1922-09,14.78
1922-10,10.31
1922-11,5.36
1922-12,2.85
1923-01,2.35
1923-02,4.0
1923-03,6.48
1923-04,10.44
1923-05,14.14
1923-06,17.12
1923-07,18.97
1923-08,17.97
1923-09,14.65
1923-10,10.29
1923-11,5.94
1923-12,2.83
1924-01,2.61
1924-02,3.79
1924-03,6.27
1924-04,10.58
1924-05,14.08
1924-06,17.18
1924-07,19.06
1924-08,18.21
1924-09,14.61
1924-10,9.58
1924-11,5.33
1924-12,3.47
1925-01,3.0
1925-02,4.01
1925-03,6.94
1925-04,10.44
1925-05,13.69
1925-06,17.08
1925-07,18.72
1925-08,18.49
1925-09,14.91
1925-10,10.26
1925-11,5.99
1925-12,2.94
1926-01,2.48
1926-02,3.66
1926-03,6.91
1926-04,10.69
1926-05,13.91
1926-06,17.48
1926-07,18.61
1926-08,18.53
1926-09,14.97
1926-10,10.36
1926-11,5.93
1926-12,3.49
1927-01,2.31
1927-02,4.18
1927-03,6.55
1927-04,10.73
1927-05,14.23
1927-06,17.68
1927-07,19.14
1927-08,18.0
1927-09,14.92
1927-10,9.68
1927-11,5.99
1927-12,3.48
1928-01,2.47
1928-02,4.25
1928-03,6.66
1928-04,10.24
1928-05,14.23
1928-06,17.18
1928-07,18.51
1928-08,17.95
1928-09,14.56
1928-10,10.29
1928-11,6.07
1928-12,3.02
1929-01,2.82
1929-02,3.92
1929-03,7.09
1929-04,10.43
1929-05,14.35
1929-06,17.1
1929-07,19.28
1929-08,17.95
1929-09,15.07
1929-10,9.82
1929-11,5.39
1929-12,3.15
1930-01,2.89
1930-02,3.86
1930-03,6.79
1930-04,10.42
1930-05,13.92
1930-06,17.47
1930-07,18.71
1930-08,18.38
1930-09,14.31
1930-10,10.35
1930-11,5.74
1930-12,3.39
1931-01,2.91
1931-02,4.15
1931-03,6.61
1931-04,10.07
1931-05,14.15
1931-06,17.28
1931-07,18.77
1931-08,18.5
1931-09,14.89
1931-10,9.86
1931-11,5.56
1931-12,3.14
1932-01,2.65
1932-02,3.86
1932-03,6.43
1932-04,10.36
1932-05,14.38
1932-06,17.57
1932-07,19.25
1932-08,18.32
1932-09,14.56
1932-10,10.06
1932-11,5.32
1932-12,3.05
1933-01,2.67
1933-02,4.09
1933-03,6.85
1933-04,10.4
1933-05,13.98
1933-06,17.2
1933-07,18.91
1933-08,18.55
1933-09,14.97
1933-10,9.77
1933-11,5.4
1933-12,3.24
1934-01,2.84
1934-02,3.91
1934-03,6.99
1934-04,10.64
1934-05,14.18
1934-06,17.22
1934-07,18.7
1934-08,17.86
1934-09,14.53
1934-10,10.02
1934-11,6.02
1934-12,2.9
1935-01,2.68
1935-02,4.15
1935-03,6.5
1935-04,10.6
1935-05,14.04
1935-06,17.24
1935-07,19.07
1935-08,17.85
1935-09,14.95
1935-10,10.26
1935-11,5.43
1935-12,3.19
1936-01,2.49
1936-02,4.42
1936-03,6.77
1936-04,10.09
1936-05,13.85
1936-06,17.73
1936-07,18.92
1936-08,18.49
1936-09,14.89
1936-10,10.44
1936-11,5.83
1936-12,3.61
1937-01,3.07
1937-02,4.15
1937-03,6.93
1937-04,10.46
1937-05,14.32
1937-06,17.5
1937-07,19.28
1937-08,18.45
1937-09,14.74
1937-10,9.87
1937-11,5.56
1937-12,3.37
1938-01,2.98
1938-02,4.08
1938-03,6.87
1938-04,10.29
1938-05,13.73
1938-06,17.29
1938-07,18.78
1938-08,18.12
1938-09,14.8
1938-10,9.78
1938-11,5.55
1938-12,3.42
1939-01,2.94
1939-02,3.72
1939-03,6.7
1939-04,10.51
1939-05,14.01
1939-06,17.24
1939-07,18.91
1939-08,18.6
1939-09,14.84
1939-10,10.23
1939-11,6.06
1939-12,3.49
1940-01,2.68
1940-02,3.68
1940-03,6.66
1940-04,10.68
1940-05,14.36
1940-06,17.84
1940-07,18.92
1940-08,18.48
1940-09,14.82
1940-10,10.16
1940-11,5.56
1940-12,3.06
1941-01,2.74
1941-02,3.71
1941-03,6.66
1941-04,10.63
1941-05,14.01
1941-06,17.22
1941-07,18.96
1941-08,17.99
1941-09,14.88
1941-10,9.71
1941-11,5.7
1941-12,3.34
1942-01,2.42
1942-02,4.21
1942-03,6.5
1942-04,10.46
1942-05,13.73
1942-06,17.4
1942-07,18.76
1942-08,18.16
1942-09,15.0
1942-10,10.0
1942-11,6.0
1942-12,3.56
1943-01,2.6
1943-02,3.77
1943-03,6.42
1943-04,10.53
1943-05,14.5
1943-06,17.38
1943-07,19.12
1943-08,18.53
1943-09,14.92
1943-10,10.3
1943-11,6.16
1943-12,3.06
1944-01,2.42
1944-02,3.83
1944-03,6.51
1944-04,10.64
1944-05,14.16
1944-06,17.28
1944-07,19.17
1944-08,18.52
1944-09,14.54
1944-10,10.19
1944-11,6.01
1944-12,3.0
1945-01,3.07
1945-02,4.49
1945-03,6.5
1945-04,10.14
1945-05,13.96
1945-06,17.66
1945-07,19.38
1945-08,18.23
1945-09,14.99
1945-10,9.78
1945-11,5.97
1945-12,3.42
1946-01,2.5
1946-02,4.34
1946-03,7.1
1946-04,10.6
1946-05,13.82
1946-06,17.91
1946-07,19.25
1946-08,18.2
1946-09,14.76
1946-10,10.02
1946-11,5.83
1946-12,3.19
1947-01,3.11
1947-02,4.39
1947-03,6.51
1947-04,10.9
1947-05,14.24
1947-06,17.79
1947-07,19.19
1947-08,18.28
1947-09,15.02
1947-10,10.5
1947-11,5.65
1947-12,3.58
1948-01,2.87
1948-02,4.12
1948-03,6.78
1948-04,10.72
1948-05,13.95
1948-06,17.82
1948-07,19.3
1948-08,18.01
1948-09,15.14
1948-10,9.93
1948-11,5.81
1948-12,3.42
1949-01,2.75
1949-02,3.77
1949-03,7.12
1949-04,10.29
1949-05,13.91
1949-06,17.78
1949-07,18.92
1949-08,18.65
1949-09,15.0
1949-10,9.96
1949-11,5.45
1949-12,3.7
1950-01,2.52
1950-02,4.33
1950-03,6.84
1950-04,10.76
1950-05,14.3
1950-06,17.67
1950-07,19.04
1950-08,18.58
1950-09,14.52
1950-10,9.93
1950-11,6.0
1950-12,3.19
1951-01,2.92
1951-02,4.14
1951-03,6.88
1951-04,10.5
1951-05,14.35
1951-06,17.42
1951-07,19.22
1951-08,18.17
1951-09,14.66
1951-10,9.85
1951-11,5.61
1951-12,3.05
1952-01,2.89
1952-02,4.37
1952-03,6.61
1952-04,10.34
1952-05,14.15
1952-06,17.74
1952-07,19.45
1952-08,18.38
1952-09,14.69
1952-10,9.84
1952-11,5.62
1952-12,3.15
1953-01,2.61
1953-02,3.78
1953-03,6.9
1953-04,10.39
1953-05,14.55
1953-06,17.61
1953-07,19.23
1953-08,18.07
1953-09,15.17
1953-10,10.16
1953-11,6.17
1953-12,3.43
1954-01,2.85
1954-02,4.13
1954-03,6.63
1954-04,10.22
1954-05,14.53
1954-06,17.56
1954-07,19.34
1954-08,18.3
1954-09,14.54
1954-10,10.28
1954-11,5.52
1954-12,3.1
1955-01,2.94
1955-02,4.03
1955-03,7.28
1955-04,10.28
1955-05,14.4
1955-06,17.67
1955-07,19.32
1955-08,18.17
1955-09,14.9
1955-10,10.15
1955-11,5.84
1955-12,3.67
1956-01,3.28
1956-02,4.04
1956-03,6.99
1956-04,10.68
1956-05,14.38
1956-06,17.95
1956-07,18.86
1956-08,18.16
1956-09,15.02
1956-10,9.92
1956-11,5.63
1956-12,3.05
1957-01,2.5
1957-02,4.16
1957-03,6.97
1957-04,10.43
1957-05,13.98
1957-06,17.76
1957-07,19.26
1957-08,18.36
1957-09,15.05
1957-10,10.54
1957-11,6.13
1957-12,3.5
1958-01,3.03
1958-02,4.55
1958-03,6.85
1958-04,10.64
1958-05,14.32
1958-06,17.93
1958-07,19.37
1958-08,18.06
1958-09,14.64
1958-10,10.05
1958-11,6.11
1958-12,3.46
1959-01,2.74
1959-02,3.91
1959-03,7.06
1959-04,10.77
1959-05,14.57
1959-06,17.61
1959-07,19.11
1959-08,18.08
1959-09,14.54
1959-10,10.16
1959-11,5.77
1959-12,3.21
1960-01,2.59
1960-02,4.59
1960-03,7.19
1960-04,10.68
1960-05,14.58
1960-06,18.02
1960-07,19.26
1960-08,18.24
1960-09,14.55
1960-10,10.43
1960-11,5.9
1960-12,3.54
1961-01,3.26
1961-02,3.97
1961-03,7.0
1961-04,10.73
1961-05,14.22
1961-06,17.3
1961-07,19.01
1961-08,18.29
1961-09,15.06
1961-10,10.51
1961-11,5.79
1961-12,3.58
1962-01,2.76
1962-02,4.59
1962-03,7.18
1962-04,10.67
1962-05,14.2
1962-06,17.49
1962-07,18.99
1962-08,18.81
1962-09,14.86
1962-10,10.25
1962-11,6.32
1962-12,3.56
1963-01,2.98
1963-02,4.17
1963-03,6.69
1963-04,10.53
1963-05,14.45
1963-06,17.74
1963-07,19.35
1963-08,18.2
1963-09,14.98
1963-10,10.58
1963-11,5.89
1963-12,3.6
1964-01,2.65
1964-02,4.63
1964-03,7.04
1964-04,10.44
1964-05,13.97
1964-06,17.69
1964-07,19.19
1964-08,18.12
1964-09,15.34
1964-10,10.58
1964-11,5.92
1964-12,3.14
1965-01,3.22
1965-02,4.25
1965-03,7.13
1965-04,10.66
1965-05,14.07
1965-06,17.92
1965-07,19.54
1965-08,18.25
1965-09,15.0
1965-10,10.16
1965-11,6.29
1965-12,3.46
1966-01,3.27
1966-02,4.55
1966-03,6.78
1966-04,10.89
1966-05,14.19
1966-06,18.01
1966-07,19.17
1966-08,18.72
1966-09,14.79
1966-10,10.1
1966-11,6.03
1966-12,3.86
1967-01,2.96
1967-02,3.99
1967-03,7.0
1967-04,10.55
1967-05,14.31
1967-06,17.7
1967-07,19.13
1967-08,18.33
1967-09,14.72
1967-10,10.43
1967-11,6.03
1967-12,3.26
1968-01,3.2
1968-02,3.91
1968-03,7.17
1968-04,10.84
1968-05,14.53
1968-06,17.58
1968-07,19.31
1968-08,18.73
1968-09,15.36
1968-10,10.27
1968-11,5.61
1968-12,3.48
1969-01,3.06
1969-02,4.58
1969-03,7.28
1969-04,10.64
1969-05,14.3
1969-06,17.65
1969-07,19.36
1969-08,18.41
1969-09,15.11
1969-10,10.01
1969-11,5.96
1969-12,3.86
1970-01,2.86
1970-02,4.44
1970-03,7.11
1970-04,10.97
1970-05,14.57
1970-06,17.98
1970-07,19.09
1970-08,18.34
1970-09,15.16
1970-10,10.5
1970-11,6.29
1970-12,3.12
1971-01,2.65
1971-02,4.4
1971-03,7.33
1971-04,11.09
1971-05,14.49
1971-06,17.64
1971-07,18.88
1971-08,18.6
1971-09,15.3
1971-10,10.25
1971-11,6.15
1971-12,3.82
1972-01,2.64
1972-02,4.54
1972-03,6.84
1972-04,10.6
1972-05,14.02
1972-06,17.73
1972-07,19.26
1972-08,18.74
1972-09,14.74
1972-10,9.97
1972-11,6.3
1972-12,3.6
1973-01,2.8
1973-02,4.64
1973-03,6.73
1973-04,10.68
1973-05,14.11
1973-06,17.52
1973-07,18.82
1973-08,18.75
1973-09,15.33
1973-10,10.45
1973-11,5.74
1973-12,3.46
1974-01,2.89
1974-02,4.39
1974-03,7.13
1974-04,10.66
1974-05,14.12
1974-06,17.99
1974-07,18.98
1974-08,18.43
1974-09,15.0
1974-10,10.11
1974-11,6.08
1974-12,3.58
1975-01,3.42
1975-02,4.16
1975-03,7.41
1975-04,10.85
1975-05,14.14
1975-06,17.78
1975-07,19.37
1975-08,18.72
1975-09,14.66
1975-10,10.41
1975-11,6.02
1975-12,3.85
1976-01,2.86
1976-02,4.57
1976-03,7.12
1976-04,10.61
1976-05,14.44
1976-06,17.83
1976-07,19.37
1976-08,18.71
1976-09,15.16
1976-10,10.6
1976-11,6.13
1976-12,3.85
1977-01,3.16
1977-02,4.19
1977-03,6.99
1977-04,10.8
1977-05,14.52
1977-06,17.41
1977-07,19.08
1977-08,18.74
1977-09,14.78
1977-10,10.04
1977-11,6.07
1977-12,3.92
1978-01,3.07
1978-02,4.68
1978-03,7.31
1978-04,10.55
1978-05,14.61
1978-06,17.73
1978-07,19.49
1978-08,18.74
1978-09,14.92
1978-10,10.04
1978-11,6.42
1978-12,3.26
1979-01,3.43
1979-02,4.64
1979-03,7.23
1979-04,11.14
1979-05,14.73
1979-06,18.0
1979-07,19.15
1979-08,18.79
1979-09,14.66
1979-10,10.38
1979-11,6.02
1979-12,3.69
1980-01,3.2
1980-02,4.43
1980-03,7.32
1980-04,11.11
1980-05,14.05
1980-06,17.55
1980-07,18.88
1980-08,18.87
1980-09,15.11
1980-10,10.69
1980-11,5.84
1980-12,3.21
1981-01,3.33
1981-02,4.69
1981-03,6.91
1981-04,10.69
1981-05,14.08
1981-06,18.12
1981-07,19.11
1981-08,18.56
1981-09,14.74
1981-10,10.68
1981-11,5.78
1981-12,3.53
1982-01,3.21
1982-02,4.57
1982-03,7.43
1982-04,10.71
1982-05,14.57
1982-06,17.5
1982-07,19.21
1982-08,18.25
1982-09,15.07
1982-10,10.3
1982-11,6.44
1982-12,3.2
1983-01,2.98
1983-02,4.34
1983-03,7.44
1983-04,11.07
1983-05,14.06
1983-06,17.93
1983-07,19.32
1983-08,18.96
1983-09,14.97
1983-10,10.3
1983-11,5.83
1983-12,3.28
1984-01,3.37
1984-02,4.35
1984-03,7.22
1984-04,10.9
1984-05,14.47
1984-06,17.41
1984-07,19.52
1984-08,18.38
1984-09,14.79
1984-10,10.44
1984-11,5.74
1984-12,3.8
1985-01,2.86
1985-02,4.17
1985-03,7.39
1985-04,10.66
1985-05,14.11
1985-06,18.12
1985-07,18.9
1985-08,18.88
1985-09,14.81
1985-10,10.1
1985-11,5.9
1985-12,3.33
1986-01,3.23
1986-02,4.02
1986-03,6.71
1986-04,11.03
1986-05,14.19
1986-06,17.66
1986-07,19.04
1986-08,18.24
1986-09,15.3
1986-10,10.42
1986-11,6.3
1986-12,3.58
1987-01,3.33
1987-02,4.42
1987-03,6.8
1987-04,10.81
1987-05,14.77
1987-06,17.44
1987-07,19.54
1987-08,18.9
1987-09,15.13
1987-10,10.38
1987-11,6.48
1987-12,3.26
1988-01,3.1
1988-02,4.34
1988-03,7.26
1988-04,10.81
1988-05,14.74
1988-06,17.47
1988-07,18.98
1988-08,18.7
1988-09,14.77
1988-10,10.24
1988-11,6.22
1988-12,3.65
1989-01,2.98
1989-02,4.82
1989-03,7.15
1989-04,10.79
1989-05,14.51
1989-06,17.5
1989-07,19.48
1989-08,18.91
1989-09,15.24
1989-10,10.64
1989-11,6.3
1989-12,3.4
1990-01,3.09
1990-02,4.21
1990-03,7.0
1990-04,10.79
1990-05,14.36
1990-06,17.51
1990-07,19.27
1990-08,18.76
1990-09,15.03
1990-10,10.15
1990-11,6.47
1990-12,3.28
1991-01,3.4
1991-02,4.11
1991-03,6.81
1991-04,11.03
1991-05,14.69
1991-06,17.88
1991-07,19.41
1991-08,18.69
1991-09,15.0
1991-10,10.13
1991-11,6.02
1991-12,3.77
1992-01,3.34
1992-02,4.74
1992-03,7.32
1992-04,11.22
1992-05,14.52
1992-06,17.73
1992-07,19.41
1992-08,18.41
1992-09,15.27
1992-10,10.22
1992-11,5.83
1992-12,3.92
1993-01,3.05
1993-02,4.66
1993-03,7.21
1993-04,11.1
1993-05,14.73
1993-06,18.23
1993-07,19.61
1993-08,18.74
1993-09,15.27
1993-10,10.07
1993-11,6.49
1993-12,3.91
1994-01,2.97
1994-02,4.2
1994-03,7.32
1994-04,10.71
1994-05,14.33
1994-06,17.46
1994-07,19.65
1994-08,18.71
1994-09,15.08
1994-10,10.17
1994-11,6.26
1994-12,3.28
1995-01,3.36
1995-02,4.24
1995-03,7.1
1995-04,10.74
1995-05,14.36
1995-06,18.04
1995-07,19.59
1995-08,18.72
1995-09,14.83
1995-10,10.11
1995-11,5.89
1995-12,3.76
1996-01,3.31
1996-02,4.29
1996-03,7.3
1996-04,10.86
1996-05,14.43
1996-06,17.69
1996-07,19.58
1996-08,18.36
1996-09,15.12
1996-10,10.3
1996-11,6.31
1996-12,3.66
1997-01,3.31
1997-02,4.12
1997-03,7.1
1997-04,10.96
1997-05,14.09
1997-06,17.72
1997-07,19.15
1997-08,18.39
1997-09,14.98
1997-10,10.34
1997-11,5.79
1997-12,3.88
1998-01,2.93
1998-02,4.39
1998-03,7.35
1998-04,10.89
1998-05,14.75
1998-06,18.13
1998-07,19.04
1998-08,18.98
1998-09,14.82
1998-10,10.1
1998-11,6.52
1998-12,3.98
1999-01,3.25
1999-02,4.55
1999-03,7.36
1999-04,10.83
1999-05,14.19
1999-06,17.51
1999-07,19.25
1999-08,18.93
1999-09,15.29
1999-10,10.76
1999-11,6.53
1999-12,3.36
2000-01,3.48
2000-02,4.29
2000-03,7.27
2000-04,10.92
2000-05,14.42
2000-06,17.75
2000-07,19.27
2000-08,18.57
2000-09,14.93
2000-10,10.51
2000-11,5.89
2000-12,3.71
2001-01,3.53
2001-02,4.39
2001-03,7.39
2001-04,11.16
2001-05,14.76
2001-06,17.7
2001-07,19.12
2001-08,18.46
2001-09,15.29
2001-10,10.72
2001-11,6.33
2001-12,3.45
2002-01,3.43
2002-02,4.51
2002-03,7.42
2002-04,11.12
2002-05,14.47
2002-06,18.25
2002-07,19.47
2002-08,18.82
2002-09,15.31
2002-10,10.81
2002-11,6.32
2002-12,3.43
2003-01,2.88
2003-02,4.47
2003-03,7.06
2003-04,10.74
2003-05,14.17
2003-06,17.93
2003-07,19.27
2003-08,18.68
2003-09,14.87
2003-10,10.79
2003-11,5.88
2003-12,4.01
2004-01,3.51
2004-02,4.62
2004-03,7.23
2004-04,10.9
2004-05,14.57
2004-06,18.16
2004-07,19.74
2004-08,18.69
2004-09,15.48
2004-10,10.65
2004-11,6.09
2004-12,3.71
2005-01,2.96
2005-02,4.18
2005-03,6.92
2005-04,11.25
2005-05,14.41
2005-06,18.11
2005-07,19.44
2005-08,18.47
2005-09,15.03
2005-10,10.49
2005-11,6.19
2005-12,3.75
2006-01,2.97
2006-02,4.44
2006-03,7.07
2006-04,10.87
2006-05,14.41
2006-06,18.02
2006-07,19.67
2006-08,18.86
2006-09,14.89
2006-10,10.22
2006-11,6.38
2006-12,3.57
2007-01,3.43
2007-02,4.67
2007-03,7.57
2007-04,11.25
2007-05,14.42
2007-06,18.02
2007-07,19.16
2007-08,18.63
2007-09,15.62
2007-10,10.71
2007-11,6.16
2007-12,3.83
2008-01,3.61
2008-02,4.4
2008-03,7.16
2008-04,11.19
2008-05,14.81
2008-06,18.09
2008-07,19.72
2008-08,18.95
2008-09,15.4
2008-10,10.58
2008-11,6.37
2008-12,3.69
2009-01,3.15
2009-02,4.45
2009-03,7.01
2009-04,10.73
2009-05,14.92
2009-06,17.95
2009-07,19.24
2009-08,18.47
2009-09,14.92
2009-10,10.84
2009-11,5.94
2009-12,3.98
2010-01,3.54
2010-02,4.88
2010-03,6.9
2010-04,10.84
2010-05,14.78
2010-06,17.67
2010-07,19.37
2010-08,18.5
2010-09,15.54
2010-10,10.79
2010-11,6.52
2010-12,3.5
2011-01,3.23
2011-02,4.51
2011-03,7.42
2011-04,10.77
2011-05,14.53
2011-06,17.8
2011-07,19.68
2011-08,18.74
2011-09,15.3
2011-10,10.42
2011-11,6.52
2011-12,3.75
2012-01,3.55
2012-02,4.48
2012-03,7.64
2012-04,11.37
2012-05,14.55
2012-06,17.81
2012-07,19.39
2012-08,18.81
2012-09,15.66
2012-10,10.84
2012-11,6.53
2012-12,3.49
2013-01,3.09
2013-02,4.7
2013-03,7.59
2013-04,11.03
2013-05,14.27
2013-06,18.27
2013-07,19.77
2013-08,18.62
2013-09,15.5
2013-10,10.41
2013-11,6.62
2013-12,3.51
2014-01,3.25
2014-02,4.96
2014-03,7.08
2014-04,10.96
2014-05,14.48
2014-06,17.62
2014-07,19.14
2014-08,18.8
2014-09,15.09
2014-10,10.99
2014-11,6.2
2014-12,3.42
2015-01,3.65
2015-02,4.88
2015-03,7.42
2015-04,11.24
2015-05,14.32
2015-06,17.83
2015-07,19.77
2015-08,18.96
2015-09,15.02
2015-10,10.77
2015-11,6.26
2015-12,3.41
